full_name,email,phone_number,national_id,age,gender,region,marital_status,income,balance,credit_score,transaction_amount,created_date,last_login_date,source_system_code,internal_batch_id
Person_001,person_001@example.com,555-0001,180-78-6890,51,M,Northeast,Divorced,40617.24,27800.38,508,437.09,2024-03-12,2024-12-16,SYS_A,BATCH-2159
Person_002,person_002@example.com,555-0002,494-48-8726,34,M,Midlands,Married,38986.05,18379.74,761,636.37,2024-01-31,2024-07-08,SYS_A,BATCH-3166
Person_003,person_003@example.com,555-0003,177-72-2813,32,M,West,Widowed,72004.43,20808.23,833,17.9,2024-04-04,2024-08-02,SYS_B,BATCH-2967
Person_004,person_004@example.com,555-0004,184-56-9779,38,M,West,Married,73832.34,24354.16,566,95.5,2024-01-24,2024-07-04,SYS_A,BATCH-2356
Person_005,person_005@example.com,555-0005,761-77-7456,55,F,Northwest,Single,37513.51,5642.59,567,352.78,2024-03-12,2024-09-13,SYS_B,BATCH-2577
Person_006,person_006@example.com,555-0006,806-55-2152,33,M,Central,Divorced,40071.42,21038.9,326,75.78,2024-01-28,2024-12-29,SYS_A,BATCH-3845
Person_007,person_007@example.com,555-0007,854-50-5502,75,F,Southeast,Married,64251.83,12643.45,839,84.27,2024-10-05,2024-11-02,SYS_B,BATCH-5999
Person_008,person_008@example.com,555-0008,433-26-9339,48,M,West,Single,32409.53,-5000.0,309,375.96,2024-08-03,2024-09-28,SYS_B,BATCH-4581
Person_009,person_009@example.com,555-0009,802-67-4621,72,F,South,Single,39924.0,-2025.36,314,365.92,2024-07-08,2024-07-25,SYS_B,BATCH-4786
Person_010,person_010@example.com,555-0010,839-58-4990,61,M,Southeast,Married,51266.68,6855.06,560,28.31,2024-10-22,2024-09-02,SYS_A,BATCH-3211
Person_011,person_011@example.com,555-0011,504-30-1829,39,F,North,Single,80657.68,19249.79,302,120.87,2024-05-29,2024-10-04,SYS_A,BATCH-2359
Person_012,person_012@example.com,555-0012,598-89-1574,32,F,South,Single,36232.1,15910.4,390,125.98,2024-05-27,2024-08-18,SYS_A,BATCH-9989
Person_013,person_013@example.com,555-0013,871-83-3490,64,M,Northeast,Single,20000.0,16474.93,645,36.85,2024-03-16,2024-11-06,SYS_B,BATCH-6390
Person_014,person_014@example.com,555-0014,667-24-7822,38,F,Southeast,Married,20000.0,30607.55,688,80.6,2024-06-11,2024-12-27,SYS_A,BATCH-3066
Person_015,person_015@example.com,555-0015,729-41-1611,33,M,Southwest,Married,26115.74,4847.28,464,8.2,2024-03-04,2024-08-06,SYS_A,BATCH-8289
Person_016,person_016@example.com,555-0016,972-49-9037,76,M,East,Married,25423.17,14780.53,738,82.85,2024-08-03,2024-08-14,SYS_A,BATCH-8474
Person_017,person_017@example.com,555-0017,709-79-7838,48,F,North,Single,45374.0,17435.48,634,147.06,2024-12-30,2024-07-22,SYS_B,BATCH-9700
Person_018,person_018@example.com,555-0018,274-42-5200,21,F,Midlands,Single,27053.18,,425,101.06,2024-07-13,2024-11-10,SYS_B,BATCH-2431
Person_019,person_019@example.com,555-0019,547-13-5918,49,M,South,Married,34496.82,15226.61,692,379.79,2024-04-19,2024-09-22,SYS_B,BATCH-6759
